log file,instance id,domain class,search algorithm,plan length,vanilla repair length,vanilla repair,goal reached,num nodes generated,sum h cost,sum f cost,sum h cost time,sum grounding time,search time,search g cost,search repair set,repair length comparison,error message
exp_logs_anu/dfs relax-prec lp1/tpp__pp02-err-rate-0-3.yaml,tpp__pp02-err-rate-0-3,tpp,dfs,8,1,"buy,(next ?l2 ?l3),effPos,1",True,18,0,0,0.0,0.16,1.36,1.0,"buy,(next ?l2 ?l3),effPos,1",equal,
exp_logs_anu/dfs relax-prec lp1/ged-opt14-strips__pd-2-4-err-rate-0-1.yaml,ged-opt14-strips__pd-2-4-err-rate-0-1,ged-opt14-strips,dfs,7,1,"invert-single-gene-a,(duplicate ?x ?x),effPos,1",True,18,0,0,0.0,0.2,1.54,6.0,"begin-transpose-splice,(cw ?y ?x),effPos,1
invert-single-gene-a,(duplicate ?x ?x),effPos,1
end-cut-2,(cw ?y ?x),effPos,1
end-cut-2,(normal ?x),effPos,1
begin-cut,(not (cw ?x ?y)),effNeg,-1
end-cut-2,(inverted ?y),effPos,1",longer,
exp_logs_anu/dfs relax-prec lp1/mystery__pprob28-err-rate-0-3.yaml,mystery__pprob28-err-rate-0-3,mystery,dfs,9,1,"overcome,(fears ?c ?v),effPos,1",True,33,0,0,0.0,0.56,2.65,1.0,"succumb,(fears ?c ?v),precPos,-1",equal,
exp_logs_anu/dfs relax-prec lp1/scanalyzer-08-strips__pp25-err-rate-0-3.yaml,scanalyzer-08-strips__pp25-err-rate-0-3,scanalyzer-08-strips,dfs,10,0,,True,41,0,0,0.0,0.23,1.55,5.0,"analyze-4,(on ?c3 ?s3),effPos,1
analyze-4,(on ?c1 ?s1),effPos,1
analyze-4,(analyzed ?c3),effPos,1
analyze-4,(on ?c1 ?s2),effPos,1
analyze-4,(on ?c2 ?s4),effPos,1",longer,
exp_logs_anu/dfs relax-prec lp1/pipesworld-notankage__pp03-net1-b8-g3-err-rate-0-3.yaml,pipesworld-notankage__pp03-net1-b8-g3-err-rate-0-3,pipesworld-notankage,dfs,10,0,,True,46,0,0,0.0,0.34,1.72,2.0,"push-unitarypipe,(on ?batch-atom-in ?to-area),effPos,1
pop-unitarypipe,(on ?batch-atom-in ?from-area),effPos,1",longer,
exp_logs_anu/dfs relax-prec lp1/mystery__pprob09-err-rate-0-3.yaml,mystery__pprob09-err-rate-0-3,mystery,dfs,9,1,"succumb,(craves ?c ?n),effPos,1",False,,,,,,,,,,Subprocess timed out after 900 seconds.
exp_logs_anu/dfs relax-prec lp1/driverlog__pp01-err-rate-0-3.yaml,driverlog__pp01-err-rate-0-3,driverlog,dfs,7,0,,True,100,0,0,0.0,1.77,3.23,0.0,,equal,
exp_logs_anu/dfs relax-prec lp1/data-network-opt18-strips__pp01-err-rate-0-1.yaml,data-network-opt18-strips__pp01-err-rate-0-1,data-network-opt18-strips,dfs,9,1,"process,(script-io ?sc ?in1 ?out ?in2),precPos,-1",False,,,,,,2.07,,,,
exp_logs_anu/dfs relax-prec lp1/mprime__pprob17-err-rate-0-1.yaml,mprime__pprob17-err-rate-0-1,mprime,dfs,4,0,,True,4576,0,0,0.0,287.94,327.60,0.0,,equal,
exp_logs_anu/dfs relax-prec lp1/rovers__pp04-err-rate-0-1.yaml,rovers__pp04-err-rate-0-1,rovers,dfs,8,0,,True,33,0,0,0.0,0.92,2.23,0.0,,equal,
exp_logs_anu/dfs relax-prec lp1/freecell__pprobfreecell-2-4-err-rate-0-5.yaml,freecell__pprobfreecell-2-4-err-rate-0-5,freecell,dfs,8,0,,True,15,0,0,0.0,0.24,1.52,0.0,,equal,
exp_logs_anu/dfs relax-prec lp1/mprime__pprob28-err-rate-0-1.yaml,mprime__pprob28-err-rate-0-1,mprime,dfs,9,1,"overcome,(craves ?s2 ?c),precPos,-1",False,,,,,,1.49,,,,
exp_logs_anu/dfs relax-prec lp1/woodworking-opt08-strips__pp21-err-rate-0-1.yaml,woodworking-opt08-strips__pp21-err-rate-0-1,woodworking-opt08-strips,dfs,5,1,"do-immersion-varnish,(colour ?x ?newcolour),effPos,1",False,,,,,,1.21,,,,"An error occurred during A* search: 'smooth' is not in list. Stack trace: Traceback (most recent call last):
  File ""instance_solver.py"", line 85, in solve_instance
    searcher.find_path(logger=logger, log_interval=log_interval)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/search_algorithms.py"", line 163, in find_path
    neighbors = sorted(current_node.get_neighbors(), key=lambda x: x.g_cost, reverse=True)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/node.py"", line 162, in get_neighbors
    self.possible_groundings = Node.grounder(domain, task, next_action_pddl)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/lifted_pddl_grounder.py"", line 134, in ground_pddl
    parser.parse_domain(domain_path)
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 220, in parse_domain
    effects = tuple([(isinstance(effect, AddEffect), effect.atom.predicate.name, tuple([var_names.index(var.symbol) for var in effect.atom.subterms])) for effect in effects])
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 220, in <listcomp>
    effects = tuple([(isinstance(effect, AddEffect), effect.atom.predicate.name, tuple([var_names.index(var.symbol) for var in effect.atom.subterms])) for effect in effects])
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 220, in <listcomp>
    effects = tuple([(isinstance(effect, AddEffect), effect.atom.predicate.name, tuple([var_names.index(var.symbol) for var in effect.atom.subterms])) for effect in effects])
ValueError: 'smooth' is not in list
"
exp_logs_anu/dfs relax-prec lp1/scanalyzer-opt11-strips__pp11-err-rate-0-5.yaml,scanalyzer-opt11-strips__pp11-err-rate-0-5,scanalyzer-opt11-strips,dfs,10,0,,True,58,0,0,0.0,0.73,2.21,5.0,"analyze-4,(on ?c2 ?s2),effPos,1
analyze-4,(on ?c3 ?s4),effPos,1
analyze-4,(on ?c4 ?s2),effPos,1
analyze-4,(on ?c1 ?s1),effPos,1
analyze-4,(on ?c3 ?s3),effPos,1",longer,
exp_logs_anu/dfs relax-prec lp1/zenotravel__pp01-err-rate-0-1.yaml,zenotravel__pp01-err-rate-0-1,zenotravel,dfs,1,0,,True,2,0,0,0.0,0.04,1.19,0.0,,equal,
exp_logs_anu/dfs relax-prec lp1/mystery__pprob20-err-rate-0-5.yaml,mystery__pprob20-err-rate-0-5,mystery,dfs,8,2,"overcome,(attacks ?s2 ?v),effPos,1
feast,(craves ?l2 ?n1),precPos,-1",False,,,,,,1.25,,,,
exp_logs_anu/dfs relax-prec lp1/blocks__pprobBLOCKS-4-2-err-rate-0-3.yaml,blocks__pprobBLOCKS-4-2-err-rate-0-3,blocks,dfs,6,2,"pick-up,(on ?x ?x),precPos,-1
stack,(equality-op ?y ?y),precPos,-1",False,,,,,,1.21,,,,
exp_logs_anu/dfs relax-prec lp1/blocks__pprobBLOCKS-4-1-err-rate-0-5.yaml,blocks__pprobBLOCKS-4-1-err-rate-0-5,blocks,dfs,10,2,"unstack,(clear ?y),effPos,1
stack,(holding ?x),precPos,-1",True,41,0,0,0.0,0.21,1.45,4.0,"put-down,(holding ?x),precPos,-1
stack,(on ?y ?x),effPos,1
unstack,(on ?x ?y),effPos,1
stack,(clear ?y),precPos,-1",longer,
exp_logs_anu/dfs relax-prec lp1/tpp__pp01-err-rate-0-1.yaml,tpp__pp01-err-rate-0-1,tpp,dfs,5,0,,True,6,0,0,0.0,0.08,1.28,0.0,,equal,
exp_logs_anu/dfs relax-prec lp1/miconic__ps1-4-err-rate-0-1.yaml,miconic__ps1-4-err-rate-0-1,miconic,dfs,4,1,"up,(boarded ?f1),effPos,1",False,,,,,,1.18,,,,
exp_logs_anu/dfs relax-prec lp1/ged-opt14-strips__pd-2-4-err-rate-0-5.yaml,ged-opt14-strips__pd-2-4-err-rate-0-5,ged-opt14-strips,dfs,7,0,,True,18,0,0,0.0,0.2,1.66,5.0,"invert-single-gene-a,(normal ?x),effPos,1
end-cut-2,(cw ?y ?x),effPos,1
begin-cut,(cw ?x ?y),effPos,1
begin-transpose-splice,(cw ?y ?x),effPos,1
end-cut-2,(inverted ?y),effPos,1",longer,
exp_logs_anu/dfs relax-prec lp1/mprime__pprob35-err-rate-0-3.yaml,mprime__pprob35-err-rate-0-3,mprime,dfs,6,1,"drink,(craves ?n1 ?l13),precPos,-1",False,,,,,,1.82,,,,
exp_logs_anu/dfs relax-prec lp1/mprime__pprob20-err-rate-0-3.yaml,mprime__pprob20-err-rate-0-3,mprime,dfs,7,0,,False,,,,,,,,,,Subprocess timed out after 900 seconds.
exp_logs_anu/dfs relax-prec lp1/elevators-opt08-strips__pp02-err-rate-0-1.yaml,elevators-opt08-strips__pp02-err-rate-0-1,elevators-opt08-strips,dfs,9,1,"board,(lift-at ?lift ?n2),effPos,1",True,209,0,0,0.0,6.66,8.77,1.0,"leave,(passenger-at ?p ?n1),effPos,1",equal,
exp_logs_anu/dfs relax-prec lp1/visitall-opt11-strips__pproblem02-half-err-rate-0-3.yaml,visitall-opt11-strips__pproblem02-half-err-rate-0-3,visitall-opt11-strips,dfs,1,1,"move,(visited ?nextpos),effPos,1",True,2,0,0,0.0,0.03,1.15,1.0,"move,(visited ?nextpos),effPos,1",equal,
exp_logs_anu/dfs relax-prec lp1/data-network-opt18-strips__pp09-err-rate-0-3.yaml,data-network-opt18-strips__pp09-err-rate-0-3,data-network-opt18-strips,dfs,8,1,"load,(cached ?d ?s),effPos,1",True,118,0,0,0.0,1.01,2.66,1.0,"send,(cached ?d ?from),precPos,-1",equal,
exp_logs_anu/dfs relax-prec lp1/hiking-opt14-strips__pptesting-2-4-3-err-rate-0-3.yaml,hiking-opt14-strips__pptesting-2-4-3-err-rate-0-3,hiking-opt14-strips,dfs,10,0,,False,,,,,,,,,,Subprocess timed out after 900 seconds.
exp_logs_anu/dfs relax-prec lp1/transport-sat08-strips__pp21-err-rate-0-1.yaml,transport-sat08-strips__pp21-err-rate-0-1,transport-sat08-strips,dfs,8,1,"drop,(in ?p ?v),precPos,-1",True,56,0,0,0.0,0.84,2.18,1.0,"drop,(in ?p ?v),precPos,-1",equal,
exp_logs_anu/dfs relax-prec lp1/mystery__pprob01-err-rate-0-1.yaml,mystery__pprob01-err-rate-0-1,mystery,dfs,5,1,"succumb,(harmony ?v ?n),precPos,-1",False,,,,,,1.61,,,,
exp_logs_anu/dfs relax-prec lp1/zenotravel__pp02-err-rate-0-3.yaml,zenotravel__pp02-err-rate-0-3,zenotravel,dfs,8,0,,True,23,0,0,0.0,0.27,1.48,0.0,,equal,
exp_logs_anu/dfs relax-prec lp1/scanalyzer-opt11-strips__pp11-err-rate-0-1.yaml,scanalyzer-opt11-strips__pp11-err-rate-0-1,scanalyzer-opt11-strips,dfs,10,1,"analyze-4,(analyzed ?c3),effPos,1",True,41,0,0,0.0,0.26,1.52,3.0,"analyze-4,(not (on ?c1 ?s1)),effNeg,-1
analyze-4,(analyzed ?c4),effPos,1
analyze-4,(on ?c2 ?s3),effPos,1",longer,
exp_logs_anu/dfs relax-prec lp1/zenotravel__pp01-err-rate-0-5.yaml,zenotravel__pp01-err-rate-0-5,zenotravel,dfs,1,0,,True,2,0,0,0.0,0.04,1.20,0.0,,equal,
exp_logs_anu/dfs relax-prec lp1/mprime__pprob28-err-rate-0-5.yaml,mprime__pprob28-err-rate-0-5,mprime,dfs,9,0,,True,71,0,0,0.0,1.83,3.24,0.0,,equal,
exp_logs_anu/dfs relax-prec lp1/woodworking-opt08-strips__pp21-err-rate-0-5.yaml,woodworking-opt08-strips__pp21-err-rate-0-5,woodworking-opt08-strips,dfs,5,0,,False,,,,,,1.57,,,,"An error occurred during A* search: 'smooth' is not in list. Stack trace: Traceback (most recent call last):
  File ""instance_solver.py"", line 85, in solve_instance
    searcher.find_path(logger=logger, log_interval=log_interval)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/search_algorithms.py"", line 163, in find_path
    neighbors = sorted(current_node.get_neighbors(), key=lambda x: x.g_cost, reverse=True)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/node.py"", line 162, in get_neighbors
    self.possible_groundings = Node.grounder(domain, task, next_action_pddl)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/lifted_pddl_grounder.py"", line 134, in ground_pddl
    parser.parse_domain(domain_path)
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 220, in parse_domain
    effects = tuple([(isinstance(effect, AddEffect), effect.atom.predicate.name, tuple([var_names.index(var.symbol) for var in effect.atom.subterms])) for effect in effects])
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 220, in <listcomp>
    effects = tuple([(isinstance(effect, AddEffect), effect.atom.predicate.name, tuple([var_names.index(var.symbol) for var in effect.atom.subterms])) for effect in effects])
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 220, in <listcomp>
    effects = tuple([(isinstance(effect, AddEffect), effect.atom.predicate.name, tuple([var_names.index(var.symbol) for var in effect.atom.subterms])) for effect in effects])
ValueError: 'smooth' is not in list
"
exp_logs_anu/dfs relax-prec lp1/rovers__pp04-err-rate-0-5.yaml,rovers__pp04-err-rate-0-5,rovers,dfs,8,3,"take_image,(have_image ?r ?o ?m),effPos,1
take_image,(calibrated ?i ?r),precPos,-1
navigate,(have_rock_analysis ?x ?z),effPos,1",True,129,0,0,0.0,3.18,5.06,4.0,"communicate_image_data,(have_image ?r ?o ?m),precPos,-1
communicate_image_data,(have_rock_analysis ?r ?y),effPos,1
take_image,(calibrated ?i ?r),precPos,-1
navigate,(communicated_rock_data ?z),effPos,1",longer,
exp_logs_anu/dfs relax-prec lp1/woodworking-opt08-strips__pp22-err-rate-0-3.yaml,woodworking-opt08-strips__pp22-err-rate-0-3,woodworking-opt08-strips,dfs,8,,,False,,,,,,,,,,"Can't perform vanilla repair: Problem is unsolvable
Traceback (most recent call last):
  File ""instance_solver.py"", line 40, in solve_instance
    gr = ground_repair(
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/vanilla_runs/run_songtuans_vanilla.py"", line 22, in ground_repair
    raise Exception(""Problem is unsolvable"")
Exception: Problem is unsolvable
"
exp_logs_anu/dfs relax-prec lp1/freecell__pprobfreecell-2-4-err-rate-0-1.yaml,freecell__pprobfreecell-2-4-err-rate-0-1,freecell,dfs,8,1,"sendtohome,(clear ?oldcard),effPos,1",False,,,,,,3.73,,,,
exp_logs_anu/dfs relax-prec lp1/mystery__pprob20-err-rate-0-1.yaml,mystery__pprob20-err-rate-0-1,mystery,dfs,8,1,"succumb,(orbits ?s1 ?n),precPos,-1",False,,,,,,,,,,Subprocess timed out after 900 seconds.
exp_logs_anu/dfs relax-prec lp1/blocks__pprobBLOCKS-4-1-err-rate-0-1.yaml,blocks__pprobBLOCKS-4-1-err-rate-0-1,blocks,dfs,10,0,,True,21,0,0,0.0,0.1,1.29,0.0,,equal,
exp_logs_anu/dfs relax-prec lp1/data-network-opt18-strips__pp17-err-rate-0-3.yaml,data-network-opt18-strips__pp17-err-rate-0-3,data-network-opt18-strips,dfs,10,0,,True,2081,0,0,0.0,123.53,175.65,1.0,"send,(saved ?d ?to),effPos,1",longer,
exp_logs_anu/dfs relax-prec lp1/mprime__pprob01-err-rate-0-3.yaml,mprime__pprob01-err-rate-0-3,mprime,dfs,5,0,,True,9,0,0,0.0,0.17,1.62,0.0,,equal,
exp_logs_anu/dfs relax-prec lp1/data-network-opt18-strips__pp02-err-rate-0-3.yaml,data-network-opt18-strips__pp02-err-rate-0-3,data-network-opt18-strips,dfs,7,0,,True,21,0,0,0.0,0.66,1.94,0.0,,equal,
exp_logs_anu/dfs relax-prec lp1/data-network-opt18-strips__pp01-err-rate-0-5.yaml,data-network-opt18-strips__pp01-err-rate-0-5,data-network-opt18-strips,dfs,9,2,"load,(cached ?d ?s),effPos,1
send,(usage ?to ?before),effPos,1",True,1439,0,0,0.0,71.32,80.09,1.0,"load,(cached ?d ?s),effPos,1",shorter,
exp_logs_anu/dfs relax-prec lp1/tidybot-opt11-strips__pp01-err-rate-0-3.yaml,tidybot-opt11-strips__pp01-err-rate-0-3,tidybot-opt11-strips,dfs,4,0,,False,,,,,,1.23,,,,"An error occurred during A* search: Duplicate definition of element ""cart"". Stack trace: Traceback (most recent call last):
  File ""instance_solver.py"", line 85, in solve_instance
    searcher.find_path(logger=logger, log_interval=log_interval)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/search_algorithms.py"", line 163, in find_path
    neighbors = sorted(current_node.get_neighbors(), key=lambda x: x.g_cost, reverse=True)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/node.py"", line 162, in get_neighbors
    self.possible_groundings = Node.grounder(domain, task, next_action_pddl)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/lifted_pddl_grounder.py"", line 135, in ground_pddl
    parser.parse_problem(task_path)
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/lifted_pddl/parser.py"", line 227, in parse_problem
    problem = self._reader.parse_instance(problem_path)
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/tarski/io/fstrips.py"", line 62, in parse_instance
    self.parse_file(filename, 'problem')
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/tarski/io/fstrips.py"", line 55, in parse_file
    self.parser.visit(domain_parse_tree)
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/antlr4/tree/Tree.py"", line 34, in visit
    return tree.accept(self)
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/tarski/io/_fstrips/parser/parser.py"", line 4883, in accept
    return visitor.visitProblem(self)
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/tarski/io/_fstrips/parser/visitor.py"", line 379, in visitProblem
    return self.visitChildren(ctx)
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/antlr4/tree/Tree.py"", line 44, in visitChildren
    childResult = c.accept(self)
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/tarski/io/_fstrips/parser/parser.py"", line 5143, in accept
    return visitor.visitObject_declaration(self)
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/tarski/io/_fstrips/reader.py"", line 173, in visitObject_declaration
    self.language.constant(o, t)
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/tarski/fol.py"", line 251, in constant
    self._check_name_not_defined(name, self._constants, err.DuplicateConstantDefinition)
  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/tarski/fol.py"", line 286, in _check_name_not_defined
    raise err.DuplicateDefinition(name, self._global_index[name])
tarski.errors.DuplicateDefinition: Duplicate definition of element ""cart""
"
exp_logs_anu/dfs relax-prec lp1/mprime__pprob17-err-rate-0-5.yaml,mprime__pprob17-err-rate-0-5,mprime,dfs,4,0,,True,4225,0,0,0.0,266.85,303.46,0.0,,equal,
exp_logs_anu/dfs relax-prec lp1/mprime__pprob07-err-rate-0-3.yaml,mprime__pprob07-err-rate-0-3,mprime,dfs,5,0,,True,870,0,0,0.0,39.54,46.03,0.0,,equal,
exp_logs_anu/dfs relax-prec lp1/mprime__pprob04-err-rate-0-5.yaml,mprime__pprob04-err-rate-0-5,mprime,dfs,9,0,,False,,,,,,,,,,Subprocess timed out after 900 seconds.
