log_file,instance_id,domain_class,search_algorithm,plan_length,repair_length,repair,goal_reached,num_nodes_generated,sum_h_cost,sum_f_cost,sum_h_cost_time,sum_grounding_time,search_time,goal_g_cost,goal_repair_set,error_message
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_9_mystery_pprob28-err-rate-0-3.yaml,mystery__pprob28-err-rate-0-3,mystery,bfs,9,1,"overcome,(fears ?c ?v),effPos,1",True,2698,0,5330,0.0,7.854912996292114,19.17,1,"overcome,(fears ?c ?v),effPos,1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_8_ged-opt14-strips_pd-3-2-err-rate-0-3.yaml,ged-opt14-strips__pd-3-2-err-rate-0-3,ged-opt14-strips,bfs,8,1,"end-splice-1,(s-first ?x),precPos,-1",True,1344,0,665,0.0,16.151495933532715,26.79,1,"end-splice-1,(s-first ?x),precPos,-1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_3_miconic_ps1-1-err-rate-0-5.yaml,miconic__ps1-1-err-rate-0-5,miconic,bfs,3,1,"depart,(boarded ?p),precPos,-1",True,4,0,1,0.0,0.04642009735107422,1.17,1,"depart,(boarded ?p),precPos,-1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_8_tpp_pp02-err-rate-0-3.yaml,tpp__pp02-err-rate-0-3,tpp,bfs,8,1,"buy,(next ?l2 ?l3),effPos,1",True,16,0,19,0.0,0.16051769256591797,1.33,1,"buy,(next ?l2 ?l3),effPos,1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_12_rovers_pp03-err-rate-0-5.yaml,rovers__pp03-err-rate-0-5,rovers,bfs,12,1,"take_image,(have_image ?r ?o ?m),effPos,1",True,2796,0,3838,0.0,7.130357503890991,19.17,1,"communicate_image_data,(have_image ?r ?o ?m),precPos,-1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_10_rovers_pp01-err-rate-0-1.yaml,rovers__pp01-err-rate-0-1,rovers,bfs,10,1,"navigate,(have_soil_analysis ?x ?z),effPos,1",True,112,0,69,0.0,2.0257270336151123,3.60,1,"navigate,(have_soil_analysis ?x ?z),effPos,1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_13_ged-opt14-strips_pd-7-6-err-rate-0-5.yaml,ged-opt14-strips__pd-7-6-err-rate-0-5,ged-opt14-strips,bfs,13,1,"begin-cut,(idle ),precPos,-1",True,915,0,1450,0.0,6.876757621765137,15.31,1,"begin-cut,(idle ),precPos,-1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_5_transport-opt08-strips_pp01-err-rate-0-3.yaml,transport-opt08-strips__pp01-err-rate-0-3,transport-opt08-strips,bfs,5,1,"pick-up,(in ?p ?v),effPos,1",True,75,0,107,0.0,0.2788717746734619,1.51,1,"pick-up,(in ?p ?v),effPos,1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_13_miconic_ps3-0-err-rate-0-1.yaml,miconic__ps3-0-err-rate-0-1,miconic,bfs,13,1,"up,(lift-at ?f2),effPos,1",False,,,,,,1.25,,,
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_12_visitall-opt11-strips_pproblem03-full-err-rate-0-1.yaml,visitall-opt11-strips__pproblem03-full-err-rate-0-1,visitall-opt11-strips,bfs,12,1,"move,(at-robot ?curpos),precPos,-1",False,,,,,,,,,Subprocess timed out after 900 seconds.
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_7_pegsol-08-strips_pp01-err-rate-0-3.yaml,pegsol-08-strips__pp01-err-rate-0-3,pegsol-08-strips,bfs,7,1,"end-move,(move-ended ),effPos,1",True,92,0,116,0.0,0.40459156036376953,1.83,1,"end-move,(move-ended ),effPos,1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_3_miconic_ps1-1-err-rate-0-1.yaml,miconic__ps1-1-err-rate-0-1,miconic,bfs,3,1,"board,(boarded ?p),effPos,1",True,4,0,1,0.0,0.05180788040161133,1.16,1,"board,(boarded ?p),effPos,1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_13_ged-opt14-strips_pd-7-6-err-rate-0-1.yaml,ged-opt14-strips__pd-7-6-err-rate-0-1,ged-opt14-strips,bfs,13,0,,True,123,0,63,0.0,1.0587120056152344,3.22,0,,
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_8_miconic_ps2-0-err-rate-0-3.yaml,miconic__ps2-0-err-rate-0-3,miconic,bfs,8,2,"board,(served ?p),effPos,1
up,(lift-at ?f2),effPos,1",False,,,,,,1.47,,,
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_10_rovers_pp01-err-rate-0-5.yaml,rovers__pp01-err-rate-0-5,rovers,bfs,10,5,"sample_rock,(not (empty ?s)),effNeg,-1
take_image,(have_image ?r ?o ?m),effPos,1
navigate,(communicated_soil_data ?z),effPos,1
sample_rock,(full ?s),effPos,1
communicate_soil_data,(have_soil_analysis ?r ?p),precPos,-1",True,2322,0,9662,0.0,44.74626135826111,74.16,5,"sample_rock,(not (empty ?s)),effNeg,-1
communicate_image_data,(have_image ?r ?o ?m),precPos,-1
communicate_soil_data,(communicated_soil_data ?p),effPos,1
sample_rock,(full ?s),effPos,1
communicate_soil_data,(have_soil_analysis ?r ?p),precPos,-1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_7_miconic_ps2-3-err-rate-0-3.yaml,miconic__ps2-3-err-rate-0-3,miconic,bfs,7,1,"board,(boarded ?p),effPos,1",True,29,0,19,0.0,0.15198016166687012,1.30,1,"board,(boarded ?p),effPos,1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_11_gripper_pprob01-err-rate-0-3.yaml,gripper__pprob01-err-rate-0-3,gripper,bfs,11,1,"drop,(carry ?obj ?gripper),precPos,-1",False,,,,,,26.61,,,
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_7_mprime_pprob21-err-rate-0-5.yaml,mprime__pprob21-err-rate-0-5,mprime,bfs,7,2,"drink,(locale ?n1 ?l22),effPos,1
overcome,(fears ?c ?v),effPos,1",False,,,,,,,,,Subprocess timed out after 900 seconds.
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_8_rovers_pp02-err-rate-0-3.yaml,rovers__pp02-err-rate-0-3,rovers,bfs,8,1,"sample_soil,(not (available ?x)),effNeg,-1",True,52,0,1,0.0,1.4225103855133057,2.76,1,"sample_soil,(not (available ?x)),effNeg,-1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_7_mystery_pprob11-err-rate-0-5.yaml,mystery__pprob11-err-rate-0-5,mystery,bfs,7,1,"succumb,(craves ?c ?n),effPos,1",True,165,0,204,0.0,1.0093541145324707,2.94,1,"succumb,(craves ?c ?n),effPos,1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_12_transport-opt08-strips_pp22-err-rate-0-1.yaml,transport-opt08-strips__pp22-err-rate-0-1,transport-opt08-strips,bfs,12,1,"drop,(at ?p ?l),effPos,1",True,9030,0,6976,0.0,60.26386094093323,137.58,1,"drop,(at ?p ?l),effPos,1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_11_miconic_ps3-4-err-rate-0-3.yaml,miconic__ps3-4-err-rate-0-3,miconic,bfs,11,2,"up,(lift-at ?f2),effPos,1
up,(not (lift-at ?f1)),effNeg,-1",False,,,,,,1.32,,,
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_8_rovers_pp04-err-rate-0-3.yaml,rovers__pp04-err-rate-0-3,rovers,bfs,8,1,"take_image,(calibrated ?i ?r),precPos,-1",True,135,0,171,0.0,1.8297793865203857,3.42,1,"take_image,(calibrated ?i ?r),precPos,-1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_1_ged-opt14-strips_pd-1-2-err-rate-0-5.yaml,ged-opt14-strips__pd-1-2-err-rate-0-5,ged-opt14-strips,bfs,1,1,"invert-single-gene-a,(inverted ?x),effPos,1",True,2,0,1,0.0,0.03314852714538574,1.16,1,"invert-single-gene-a,(inverted ?x),effPos,1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_7_visitall-opt11-strips_pproblem03-half-err-rate-0-5.yaml,visitall-opt11-strips__pproblem03-half-err-rate-0-5,visitall-opt11-strips,bfs,7,1,"move,(visited ?nextpos),effPos,1",True,4643,0,3528,0.0,17.346527814865112,32.41,1,"move,(visited ?nextpos),effPos,1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_7_ged-opt14-strips_pd-2-4-err-rate-0-1.yaml,ged-opt14-strips__pd-2-4-err-rate-0-1,ged-opt14-strips,bfs,7,1,"invert-single-gene-a,(duplicate ?x ?x),effPos,1",True,112,0,133,0.0,1.325439453125,3.26,1,"invert-single-gene-a,(duplicate ?x ?x),effPos,1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_5_mprime_pprob31-err-rate-0-5.yaml,mprime__pprob31-err-rate-0-5,mprime,bfs,5,1,"succumb,(fears ?c ?v),precPos,-1",False,,,,,,,,,Subprocess timed out after 900 seconds.
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_4_miconic_ps1-2-err-rate-0-3.yaml,miconic__ps1-2-err-rate-0-3,miconic,bfs,4,2,"depart,(served ?p),effPos,1
up,(lift-at ?f1),effPos,1",True,5,0,2,0.0,0.05600762367248535,1.18,2,"depart,(served ?p),effPos,1
up,(lift-at ?f1),effPos,1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_8_rovers_pp02-err-rate-0-5.yaml,rovers__pp02-err-rate-0-5,rovers,bfs,8,2,"sample_rock,(equipped_for_soil_analysis ?x),effPos,1
communicate_image_data,(not (at_lander ?l ?y)),effNeg,-1",True,52,0,34,0.0,1.4399638175964355,2.81,2,"sample_rock,(equipped_for_soil_analysis ?x),effPos,1
communicate_image_data,(not (at_lander ?l ?y)),effNeg,-1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_11_gripper_pprob01-err-rate-0-1.yaml,gripper__pprob01-err-rate-0-1,gripper,bfs,11,1,"move,(at-robby ?to),effPos,1",False,,,,,,,,,Subprocess timed out after 900 seconds.
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_11_mprime_pprob12-err-rate-0-3.yaml,mprime__pprob12-err-rate-0-3,mprime,bfs,11,1,"feast,(locale ?n1 ?l1),effPos,1",False,,,,,,,,,Subprocess timed out after 900 seconds.
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_10_blocks_pprobBLOCKS-4-1-err-rate-0-5.yaml,blocks__pprobBLOCKS-4-1-err-rate-0-5,blocks,bfs,10,2,"stack,(holding ?x),precPos,-1
unstack,(clear ?y),effPos,1",True,389,0,1062,0.0,1.5305066108703613,5.13,2,"stack,(clear ?y),precPos,-1
unstack,(holding ?y),effPos,1",
